"date","description","withdrawal","deposit","balance"
"2024-09-27","ACCTBALREBATE","","16.95","23347.50"
"2024-10-01","SSVTO:80746337033","0.50","","23347.00"
"2024-10-01","SENDE-TFR***am3","150.00","","23197.00"
"2024-10-01","Amazon.caPrime_V","10.49","","23186.51"
"2024-10-02","SSVTO:80746337033","0.50","","23186.01"
"2024-10-03","PTSTO:80746337033","50.00","","23136.01"
"2024-10-03","VeemPaymentMSP","","1457.33","24593.34"
"2024-10-04","Amazon.ca_V","15.38","","24577.96"
"2024-10-04","AMAZON_V","7.34","","24570.62"
"2024-10-04","Amazon.ca_V","9.42","","24561.20"
"2024-10-07","JD370TFR-TOC/C","1455.16","","23106.04"
"2024-10-07","SSVTO:80746337033","1.50","","23104.54"
"2024-10-07","VESPUCCI","273.53","","22831.01"
"2024-10-07","SYLVANSTARCHE_F","20.31","","22810.70"
"2024-10-07","PAYPALMSP","177.45","","22633.25"
"2024-10-07","SENDE-TFR***vXN","250.00","","22383.25"
"2024-10-08","SSVTO:80746337033","1.00","","22382.25"
"2024-10-08","FREEDOMMOBILE_V","88.15","","22294.10"
"2024-10-08","PAYPALMSP","13.64","","22280.46"
"2024-10-08","PAYPALMSP","82.94","","22197.52"
"2024-10-09","SSVTO:80746337033","0.50","","22197.02"
"2024-10-09","SENDE-TFR***UzE","201.24","","21995.78"
"2024-10-15","241011S4075900WIRE","","2739.59","24735.37"
"2024-10-16","PAYPALMSP","33.13","","24702.24"
"2024-10-17","PTSTO:80746337033","50.00","","24652.24"
"2024-10-17","PAYPALMSP","14.16","","24638.08"
"2024-10-17","PAYPALMSP","27.06","","24611.02"
"2024-10-22","GoogleLLCMSP","","931.46","25542.48"
"2024-10-22","AMAZON_V","16.78","","25525.70"
"2024-10-22","PAYPALMSP","9.95","","25515.75"
"2024-10-22","PAYPALMSP","13.64","","25502.11"
"2024-10-23","SSVTO:80746337033","0.50","","25501.61"
"2024-10-24","AMZNMktpCA_V","55.64","","25445.97"
"2024-10-25","SSVTO:80746337033","0.50","","25445.47"
"2024-10-25","NETFLIX.COM_V","17.31","","25428.16"
"2024-10-28","SSVTO:80746337033","0.50","","25427.66"
"2024-10-28","SENDE-TFR***XMC","150.00","","25277.66"
"2024-10-29","Amazon.caPrime_V","10.49","","25267.17"
"2024-10-29","UBERCANADA/UBE_V","37.31","","25229.86"
"2024-10-29","UBERCANADA/UBE_V","13.26","","25216.60"
"2024-10-30","SSVTO:80746337033","1.50","","25215.10"
"2024-10-30","UBERCANREV10/29_V","","37.31","25252.41"
"2024-10-30","UBERCANADA/UBE_V","37.30","","25215.11"
"2024-10-30","HO192TFR-TOC/C","1407.23","","23807.88"
"2024-10-31","PTSTO:80746337033","50.00","","23757.88"
"2024-10-31","PTSTO:80746337033","10.00","","23747.88"
"2024-10-31","MONTHLYACCOUNTFEE","16.95","","23730.93"
"2024-10-31","ACCTBALREBATE","","16.95","23747.88"
"2024-11-01","CAMERASTOREAP","","1500.00","25247.88"
"2024-11-05","VeemPaymentMSP","","9470.47","34718.35"
"2024-11-06","PAYPALMSP","76.21","","34642.14"
"2024-11-07","FREEDOMMOBILE_V","88.15","","34553.99"
"2024-11-07","PAYPALMSP","46.18","","34507.81"
"2024-11-07","PAYPALMSP","82.94","","34424.87"
"2024-11-08","SSVTO:80746337033","0.50","","34424.37"
"2024-11-08","PAYPALMSP","13.64","","34410.73"
"2024-11-12","AMZNMktpCA_V","12.60","","34398.13"
"2024-11-12","AMZNMktpCA_V","62.99","","34335.14"
"2024-11-12","HOMEYFOODAND","165.89","","34169.25"
"2024-11-13","SSVTO:80746337033","1.50","","34167.75"
"2024-11-13","PAYPALMSP","164.34","","34003.41"
"2024-11-14","AMZNMktpCA_V","25.73","","33977.68"
"2024-11-14","PTSTO:80746337033","50.00","","33927.68"
"2024-11-14","SENDE-TFR***hbM","3000.00","","30927.68"
"2024-11-14","PAYPALMSP","124.32","","30803.36"
"2024-11-15","AMZNMktpCA_V","28.28","","30775.08"
"2024-11-15","STRIPEMSP","","4.36","30779.44"
"2024-11-15","SSVTO:80746337033","0.50","","30778.94"
"2024-11-15","VeemPaymentMSP","","8185.62","38964.56"
"2024-11-18","SSVTO:80746337033","0.50","","38964.06"
"2024-11-18","PAYPALMSP","33.76","","38930.30"
"2024-11-19","PAYPALMSP","14.16","","38916.14"
"2024-11-19","PAYPALMSP","30.85","","38885.29"
"2024-11-21","AMZNMktpCA_V","53.57","","38831.72"
"2024-11-21","PAYPALMSP","9.95","","38821.77"
"2024-11-21","PAYPALMSP","11.34","","38810.43"
"2024-11-22","GoogleLLCMSP","","1052.23","39862.66"
"2024-11-22","SSVTO:80746337033","0.50","","39862.16"
"2024-11-25","NETFLIX.COM_V","17.31","","39844.85"
"2024-11-26","SSVTO:80746337033","0.50","","39844.35"
"2024-11-26","WT554TFR-TOC/C","2286.49","","37557.86"
"2024-11-26","PAYPALMSP","47.24","","37510.62"
"2024-11-27","Amazon.ca_V","83.99","","37426.63"
"2024-11-28","PTSTO:80746337033","50.00","","37376.63"
"2024-11-28","SSVTO:80746337033","0.50","","37376.13"
"2024-11-29","Amazon.caPrime_V","10.49","","37365.64"
"2024-11-29","SENDE-TFR***wRM","3000.00","","34365.64"
"2024-11-29","PTSTO:80746337033","10.00","","34355.64"
"2024-11-29","PAYPALMSP","6.29","","34349.35"
"2024-11-29","MONTHLYACCOUNTFEE","16.95","","34332.40"
"2024-11-29","ACCTBALREBATE","","16.95","34349.35"
